SMILES,num_rings,heavy_atoms,Compound Identification: Reaxys Commercial Substance ID,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight
O1C=NN=C1,1,5,101246.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D101246&database=RC&origin=ReaxysOutput&ln=,(64 of 406),288-99-3,"1,3,4-Oxadiazole; N-{3-[4-(2-fluorophenyl)piperazin-1-yl]propyl}-1-[5-(1H-pyrrol-1-yl)-1,3,4-thiadiazol-2-yl]piperidine-3-carboxamide; 3-(2-3,4-Dihydro-2H-quinolin-1-yl-acetylamino)-1H-indole-2-carboxylic acid methyl ester; 1-(5,7-dimethyl-1-benzofuran-2-yl)propan-1-one; 1-Oxa-3,4-diazacyclopentadiene; OXADIAZOLE 134-,,; [1,3,4]oxadiazole",C2H2N2O,C2H2N2O,70.0507
O1N=CC=N1,1,5,9726059.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D9726059&database=RC&origin=ReaxysOutput&ln=,(155 of 406),288-37-9,"1,2,5-oxadiazole; 1,2,5-Oxadiazole, Furazan, furazane, 288-37-9, Azoxazole, 1,5-Oxadiazole, AC1Q4XMN, SureCN15014, SureCN6314808, AC1L27Q2, 1-Oxa-2,5-diazacyclopentadiene, CHEMBL2171711, CTK1A3563, NSC111891, AG-K-07284, NSC-111891, 16728-EP2315756A2, 27403-EP2270505A1, 27403-EP2272509A1, 27403-EP2292586A2",C2H2N2O,C2H2N2O,70.0507
O1C=NC=N1,1,5,11100721.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D11100721&database=RC&origin=ReaxysOutput&ln=,(187 of 406),288-90-4,"1,2,4-oxadiazole; 8-methyl-12-{4-oxo-4-[4-(pyridin-2-yl)piperazin-1-yl]butyl}-5-thia-1,8,10,11-tetraazatricyclo[7.3.0.0?,?]dodeca-2(6),3,9,11-tetraen-7-one",C2H2N2O,C2H2N2O,70.0507
O1C=CN=N1,1,5,80548668.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D80548668&database=RC&origin=ReaxysOutput&ln=,(387 of 406),288-99-3,Oxdiazole,C2H2N2O,C2H2N2O,70.0507
N1C=NN=N1,1,5,3711087.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D3711087&database=RC&origin=ReaxysOutput&ln=,(111 of 406),288-94-8,"1H-Tetrazole; Tetrazole; N-{[1-(2,3-dihydro-1H-inden-2-yl)-4-piperidinyl]methyl}-N-(tetrahydro-2-furanylmethyl)isonicotinamide 1-oxide; Tetrazole solution, for DNA synthesis, filtered through a 1 um filter, ~0.45 M in acetonitrile; Tetrazole solution, for DNA synthesis, filtered through a 1 um filter, 0.40 M in acetonitrile; Tetrazole 0.25M in Acetonitrile (activator solution); 1H-1,2,3,4-TETRAAZOLE",CH2N4,CH2N4,70.0537
N1N=CN=N1,1,5,3703573.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D3703573&database=RC&origin=ReaxysOutput&ln=,(109 of 406),288-94-8,"2H-tetrazole; Tetrazole; 5,8-dimethyl-3-(3-methylphenyl)-1-[(2-methylphenyl)methyl]-1H,2H,3H,4H,5H-pyrimido[5,4-b]indole-2,4-dione; Tetrazole solution, for DNA synthesis, filtered through a 1 um filter, 0.40 M in acetonitrile; 1H-Tetrazole - 0.45M solution in acetonitrile (sold on a weight of solution basis); 1H-Tetrazole (~0.45M in Acetonitrile); Tetraazacyclopentadiene",CH2N4,CH2N4,70.0537
S1C=CC=C1,1,5,60229.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D60229&database=RC&origin=ReaxysOutput&ln=,(43 of 406),110-02-1,"Thiophene; Poly(thiophene-2,5-diyl), bromine terminated; 3,4-Dihydroxybenzaldehyde; Poly(thiophene-2,5-diyl); Thiacyclopentadiene; Divinylene sulfide; Thiophene, Reagent",C4H4S,C4H4S,84.1418
S1C=CN=C1,1,5,136430.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D136430&database=RC&origin=ReaxysOutput&ln=,(74 of 406),288-47-1,"Thiazole; 2-{[3-(2-benzenesulfonamidoethyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]sulfanyl}-N-benzylacetamide; 7-(4-fluorobenzyl)-1,3-dimethyl-8-(morpholin-4-ylmethyl)-3,7-dihydro-1H-purine-2,6-dione; (1R,2R)-N1,N1,N2,N2-Tetramethylcyclohexane-1,2-diamine; 4-[(diethylamino)methyl]-N-methylpyridin-2-amine; N-(2,2-difluoroethyl)-N-(2-furylmethyl)amine; FEMA NUMBER 3615",C3H3NS,C3H3NS,85.1295
S1C=CC=N1,1,5,140884.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D140884&database=RC&origin=ReaxysOutput&ln=,(82 of 406),288-16-4,"Isothiazole; 1,2-thiazole; 2-fluoro-N-{2-[4-(2-fluorophenyl)piperazine-1-carbonyl]-1-benzofuran-3-yl}benzamide; 5-(3-Phenyl-allylidene)-2-thioxo-1,3-di-o-tolyl-dihydro-pyrimidine-4,6-dione; N-(3-fluoro-4-methylphenyl)-6H,7H,8H,9H-pyrido[2,1-h]purin-4-amine; N-(2-methylphenyl)-4-(1H-tetrazol-1-yl)benzamide; InChI=1/C3H3NS/c1-2-4-5-3-1/h1-3",C3H3NS,C3H3NS,85.1295
S1C=NN=C1,1,5,2718807.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D2718807&database=RC&origin=ReaxysOutput&ln=,(87 of 406),289-06-5,"1,3,4-thiadiazole; 7-Chloro-2-(2,4-dichloro-phenyl)-5-methoxy-1H-benzoimidazole; 2-Pyrrolidin-1-yl-pyridin-3-ylamine; hydrochloride; Thiadiazole",C2H2N2S,C2H2N2S,86.1173
S1C=NC=N1,1,5,11206157.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D11206157&database=RC&origin=ReaxysOutput&ln=,(192 of 406),288-92-6,"1,2,4-thiadiazole",C2H2N2S,C2H2N2S,86.1173
S1N=CC=N1,1,5,11541165.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D11541165&database=RC&origin=ReaxysOutput&ln=,(219 of 406),288-39-1,"1,2,5-thiadiazole; 1,2,5-Thiadiazoles; 2,1,3-Thiadiazole; 288-39-1; AC1LBKJE",C2H2N2S,C2H2N2S,86.1173
S1C=CN=N1,1,5,11478894.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D11478894&database=RC&origin=ReaxysOutput&ln=,(208 of 406),288-48-2,"[1,2,3]Thiadiazole; 1,2,3-thiadiazole; 4-Chloro-3-fluorophenylboronic acid; thiadiazole",C2H2N2S,C2H2N2S,86.1173
C1=CC=CC=C1,1,6,139594.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D139594&database=RC&origin=ReaxysOutput&ln=,(79 of 406),71-43-2,"benzene; Benzene D6 2000 microg/mL in Methanol; Benzene-D6 2000 microg/mL in Methanol; RM for Benzene in Tetrachloroethylene; 1,3,5-Cyclohexatriene-1,2,4,5-d4; 1,2,3,4,5,6-hexadeuteriobenzene; Benzene [for Spectrophotometry]",C6H6,C6H6,78.1136
C1=CC=NC=C1,1,6,61433.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D61433&database=RC&origin=ReaxysOutput&ln=,(44 of 406),110-86-1,"Pyridine; 5-[(3-fluorophenyl)methyl]-N-[(4-fluorophenyl)methyl]-4-oxo-4H,5H-pyrazolo[1,5-a]quinoxaline-7-carboxamide; Pyridine for oligo synthesis (Water content < 30 ppm) NC-0604 2.5 L GL45 thread emp Biotech GmbH; 0.25 M Hyacinth BMT solution BMT in anhydrous Acetonitrile, NC-0102 emp Biotech GmbH; Solvent Mix Pyridine in ACN (V / V = 60 : 40) NC-0612, GL45 thread emp Biotech GmbH; Pyridine, GlenBiol™, suitable for molecular biology with molecular sieve; 1-Isobutyl-3-phenyl-1,3,8-triazaspiro[4.5]decane-2,4-dione",C5H5N,C5H5N,79.1014
C1=CN=NC=C1,1,6,36126.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D36126&database=RC&origin=ReaxysOutput&ln=,(26 of 406),289-80-5,"Pyridazine; N-ethyl-N-({1-[2-(3-fluorophenyl)ethyl]-3-piperidinyl}methyl)-2-(methylthio)acetamide; 9-(3-methylphenyl)-8-oxo-2-(propan-2-yl)-8,9-dihydro-7H-purine-6-carboxamide; 2-(4-chlorophenyl)-2-oxoethyl 2-(3,4-dimethylphenyl)quinoline-4-carboxylate; 3-methylsulfanyl-5-(2-thienyl)-1,2,4-triazol-4-amine; N-(2-ethylphenyl)-2,4-dimethoxybenzamide; InChI=1/C4H4N2/c1-2-4-6-5-3-1/h1-4",C4H4N2,C4H4N2,80.0892
C1=CN=CN=C1,1,6,7809.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D7809&database=RC&origin=ReaxysOutput&ln=,(8 of 406),289-95-2,"Pyrimidine; N-(2,3-dihydro-1,4-benzodioxin-6-yl)-2-{[3-(4-methoxyphenyl)-4-oxo-3,4-dihydroquinazolin-2-yl]sulfanyl}acetamide; 2-{[3-(2-benzenesulfonamidoethyl)-[1,2,4]triazolo[4,3-b]pyridazin-6-yl]sulfanyl}-N-benzylacetamide; 4-[5-(3,5-Dichloro-4-hydroxy-benzylidene)-3-ethyl-4-oxo-thiazolidin-2-ylideneamino]-benzoic acid; 3,3-dimethyl-N-(1,4,6-trimethyl-1H-pyrazolo[3,4-b]pyridin-3-yl)butanamide; N-(1,3-dihydro-2H-benzimidazol-2-ylidene)-3-(1H-pyrrol-1-yl)benzamide; InChI=1/C4H4N2/c1-2-5-4-6-3-1/h1-4",C4H4N2,C4H4N2,80.0892
C1=CN=CC=N1,1,6,2776865.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D2776865&database=RC&origin=ReaxysOutput&ln=,(89 of 406),290-37-9,"Pyrazine; N-({1-[(2-chlorophenyl)methyl]piperidin-4-yl}methyl)-2,6-dimethyl-4-(morpholin-4-yl)furo[2,3-d]pyrimidine-5-carboxamide; 7-(2-bromophenyl)-3-(pyridin-3-yl)-6,7-dihydro-3H-imidazo[4,5-b]pyridin-5-ol; 3-[(thiophen-2-ylsulfanyl)methyl]pyridin-2-amine; Deuterated pyrazine; 1,4-diazabenzene; FEMA NUMBER 4015",C4H4N2,C4H4N2,80.0892
C1=NC=NC=N1,1,6,35825.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D35825&database=RC&origin=ReaxysOutput&ln=,(25 of 406),290-87-9,"1,3,5-Triazine; dimethyl 4-(4-{[(4-tert-butylphenyl)carbonyl]oxy}phenyl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate; 3,3,3-Trifluoro-2-[(furan-2-carbonyl)-amino]-2-(2-methoxy-phenylamino)-propionic acid ethyl ester; N-(3-ethyl-2-oxo-2,3-dihydro-1,3-benzoxazol-6-yl)-2,1,3-benzothiadiazole-4-sulfonamide; 5-(4-bromophenyl)-N-(5-methyl-1,2-oxazol-3-yl)furan-2-carboxamide; 1-(3-chloro-2-fluorophenyl)-2-cyclopropylethan-1-one; 2-Chloro-4-methylamino-6-sec-butylamino-s-triazine",C3H3N3,C3H3N3,81.0769
C1=NC=NN=C1,1,6,3608497.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D3608497&database=RC&origin=ReaxysOutput&ln=,(96 of 406),290-38-0,"1,2,4-Triazine; N-(4-ethylphenyl)-3-[(3-oxo-3,4-dihydro-2H-1,4-benzothiazin-6-yl)sulfonyl]propanamide; N-[4-(1,3-dihydro-2H-benzimidazol-2-ylidenecarbamoyl)phenyl]morpholine-4-carboxamide; N-{4-methoxy-3-[(2-methyl-1,3-benzothiazol-6-yl)sulfamoyl]phenyl}acetamide; 6-azapyrimidine; TRIAZINE 124-,,; [1,2,4]Triazine",C3H3N3,C3H3N3,81.0769
C1=CN=NN=C1,1,6,3869341.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D3869341&database=RC&origin=ReaxysOutput&ln=,(127 of 406),289-96-3,"1,2,3-Triazine; 2-(4-{[1-(2-fluorobenzyl)-1H-1,2,3-triazol-4-yl]carbonyl}-1,4-diazepan-1-yl)-1,3-benzothiazole; N-[(4-ethoxy-3-methoxyphenyl)methylidene]hydroxylamine; InChI=1/C3H3N3/c1-2-4-6-5-3-1/h1-3; JYEUMXHLPRZUAT-UHFFFAOYSA-N; 1,2,3-Triazabenzene; EINECS 235-754-1",C3H3N3,C3H3N3,81.0769
C1=NN=CN=N1,1,6,9477017.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D9477017&database=RC&origin=ReaxysOutput&ln=,(136 of 406),290-96-0,"1,2,4,5-Tetrazine; 1-{[6-(4-methyl-3-nitrophenyl)-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-3-yl]methyl}piperidine; 2-(3-nitrophenyl)-2-oxoethyl 3-methyl-2-(4-methylphenyl)quinoline-4-carboxylate; ethyl 2-amino-3-(oxolan-3-ylsulfanyl)propanoate; s-Tetrazine",C2H2N4,C2H2N4,82.0647
C1=NN=NN=N1,1,6,11180502.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D11180502&database=RC&origin=ReaxysOutput&ln=,(190 of 406),290-97-1,"1,2,3,4,5-pentazine; pentazine",CHN5,CHN5,83.0524
N1C=CC2=C1C=CC=C2,2,9,1321254.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D1321254&database=RC&origin=ReaxysOutput&ln=,(83 of 406),120-72-9,"Indole; 1H-indole; 6-ethyl-N-[(3-methoxyphenyl)methyl]-4-oxo-2,3,4,9-tetrahydro-1H-carbazole-7-sulfonamide; 4,5,6,7-Tetrahydro-benzo[b]thiophene-3-carboxylic acid (1-ethyl-piperidin-4-yl)-amide; methyl N-{[5-bromo-2-(propylsulfanyl)pyrimidin-4-yl]carbonyl}glycinate; 2-[(4-cyano-1,3-dimethyl-1H-pyrazol-5-yl)(methyl)amino]propanoic acid; N-[3-cyano-4-(2-furyl)-6-isobutyl-2-pyridinyl]acetamide",C8H7N,C8H7N,117.15
N1C=C2C=CC=CC2=C1,2,9,3840276.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D3840276&database=RC&origin=ReaxysOutput&ln=,(123 of 406),270-68-8,"2H-Isoindole; 1-(2,2-difluoroethyl)-1H-pyrazol-4-amine",C8H7N,C8H7N,117.15
O1C=CC2=C1C=CC=C2,2,9,14434.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D14434&database=RC&origin=ReaxysOutput&ln=,(12 of 406),271-89-6,"Benzofuran; 2,3-Benzofuran; 2-amino-4-(4-bromothiophen-2-yl)-7,7-dimethyl-1-(4-methylphenyl)-5-oxo-1,4,5,6,7,8-hexahydroquinoline-3-carbonitrile; N-(3,5-dimethylphenyl)-2-(7-methoxy-3-{[(4-methylphenyl)amino]methyl}-2-oxo-1,2-dihydroquinolin-1-yl)acetamide; 5-cyclopropyl-N-(3,4,5-trimethoxyphenyl)-1,2-oxazole-3-carboxamide; 3-Chloro-7-hydroxy-4-methyl-2H-1-benzopyran-2-one; 3-Chloro-7-hydroxy-4-methyl-coumarin",C8H6O,C8H6O,118.135
O1C=C2C=CC=CC2=C1,2,9,42647301.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D42647301&database=RC&origin=ReaxysOutput&ln=,(318 of 406),nan,2-benzofuran,C8H6O,C8H6O,118.135
N1C=NC2=C1C=CC=C2,2,9,64170.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D64170&database=RC&origin=ReaxysOutput&ln=,(50 of 406),51-17-2,"Benzimidazole; methyl 4-[({[4-(4-chlorophenyl)-5-(4-methoxyphenyl)-4H-1,2,4-triazol-3-yl]sulfanyl}acetyl)amino]benzoate; Cyano-[5-(4-fluoro-benzyl)-4-oxo-3-phenyl-thiazolidin-2-ylidene]-acetic acid ethyl ester; 4-fluoro-1-(1-methyl-1H-pyrazole-4-carbonyl)-4-(pyrrolidine-1-carbonyl)piperidine; 1-{2-[(4-methylphenyl)(methylsulfonyl)amino]butanoyl}piperidine-4-carboxamide; 6-cyclopentyl-4-methyl-1H,6H-[1,2]diazolo[3,4-c]pyrazol-3-amine; N,N'-Methenyl-o-phenylenediamine",C7H6N2,C7H6N2,118.138
N1N=CC2=C1C=CC=C2,2,9,1557.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D1557&database=RC&origin=ReaxysOutput&ln=,(1 of 406),271-44-3,"1H-indazole; Indazole; 2-({5-butyl-6-oxo-8-thia-3,5,10-triazatricyclo[7.4.0.0?,?]trideca-1(13),2(7),3,9,11-pentaen-4-yl}sulfanyl)-N-(5-chloro-2-methylphenyl)acetamide; 4-[3-Cyano-4-(2-methoxy-phenyl)-6-oxo-1,4,5,6-tetrahydro-pyridin-2-ylsulfanyl]-3-oxo-butyric acid ethyl ester; 5-amino-1-{[(2,5-dimethylphenyl)carbamoyl]methyl}-N-[(3-methoxyphenyl)methyl]-1H-1,2,3-triazole-4-carboxamide; N-[(2-fluorophenyl)methyl]-6-[(furan-2-yl)methyl]-2-methyl-5-oxo-5,6-dihydro-1,6-naphthyridine-3-carboxamide; [2-(2-ethoxyethyl)-5-oxo-5H-[1,3,4]thiadiazolo[3,2-a]pyrimidin-7-yl]methyl 3-fluorobenzoate",C7H6N2,C7H6N2,118.138
N1C=CC2=C1N=CC=C2,2,9,4729.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.RCSID%3D4729&database=RC&origin=ReaxysOutput&ln=,(5 of 406),271-63-6,"7-Azaindole; 1H-pyrrolo[2,3-b]pyridine; [5-(4-fluorophenyl)-7-{[(3-fluorophenyl)methyl]sulfanyl}-14-methyl-2-oxa-4,6,13-triazatricyclo[8.4.0.0?,?]tetradeca-1(10),3,5,7,11,13-hexaen-11-yl]methanol; (αR)-α-[(3S)-3-(tert-Butyloxycarbonylamino)-4-methyl-2-oxopentyl]-4-fluoro-benzenepropanoic Acid 2-Propen-1-yl Ester; 2-{(E)-1-[4-(benzyloxy)-3,5-diiodophenyl]methylidene}[1,3]thiazolo[3,2-a][1,3]benzimidazol-3(2H)-one; N-[2-(2-methoxyphenyl)ethyl]-2-[3-(4-methoxyphenyl)-6-oxopyridazin-1(6H)-yl]acetamide; [4-(1H-benzimidazol-2-yl)piperidin-1-yl](3,5,6-trimethyl-1-benzofuran-2-yl)methanone",C7H6N2,C7H6N2,118.138
